num,load
0,7
1,8
2,4
3,5
4,2
5,3
6,2
7,5
8,4
9,5
10,4
11,2
12,8
13,8
14,8
15,3
16,4
17,6
18,1
19,7
20,9
21,8
22,1
23,5
24,6
25,5
26,6
27,6
28,3
29,3
30,6
31,6
32,8
33,4
34,4
35,4
36,3
37,5
38,7
39,4
40,5
41,7
42,6
43,1
44,5
45,6
46,5
47,2
48,7
49,3
50,4
51,5
52,4
53,3
54,6
55,8
56,6
57,7
58,5
59,2
60,7
61,5
62,7
63,8
64,2
65,9
66,5
67,4
68,8
69,1
70,9
71,6
72,5
73,11
74,3
75,9
76,5
77,9
78,7
79,3
80,1
81,2
82,5
83,9
84,5
85,6
86,4
87,8
88,8
89,2
90,3
91,7
92,4
93,6
94,8
95,8
96,6
97,8
98,3
99,5
100,0
101,3
102,3
103,9
104,4
105,8
106,4
107,4
108,12
109,4
110,5
111,7
112,7
113,5
114,0
115,2
116,5
117,8
118,5
119,13
120,3
121,8
122,8
123,3
124,8
125,5
126,3
127,5
128,7
129,5
130,3
131,4
132,5
133,5
134,2
135,7
136,1
137,6
138,2
139,7
140,5
141,9
142,6
143,4
144,6
145,7
146,6
147,4
148,11
149,7
150,4
151,5
152,6
153,6
154,9
155,4
156,4
157,6
158,5
159,7
160,8
161,3
162,3
163,10
164,3
165,1
166,4
167,9
168,8
169,2
170,7
171,5
172,9
173,4
174,0
175,6
176,7
177,5
178,5
179,4
180,8
181,4
182,7
183,5
184,7
185,3
186,8
187,3
188,4
189,5
190,5
191,9
192,6
193,4
194,6
195,2
196,6
197,4
198,4
199,1
200,5
201,4
202,3
203,2
204,2
205,3
206,3
207,4
208,5
209,10
210,3
211,4
212,2
213,4
214,5
215,7
216,6
217,6
218,9
219,4
220,5
221,4
222,9
223,6
224,4
225,3
226,6
227,6
228,8
229,5
230,5
231,7
232,9
233,3
234,7
235,5
236,7
237,8
238,10
239,9
240,6
241,3
242,5
243,6
244,8
245,5
246,5
247,8
248,3
249,8
250,6
251,4
252,7
253,8
254,4
255,9
256,12
257,8
258,4
259,6
260,3
261,10
262,3
263,6
264,3
265,7
266,5
267,4
268,6
269,7
270,3
271,7
272,2
273,5
274,5
275,1
276,6
277,7
278,6
279,7
280,5
281,5
282,4
283,11
284,5
285,5
286,5
287,8
288,1
289,6
290,6
291,5
292,10
293,7
294,9
295,4
296,6
297,12
298,7
299,8
300,4
301,3
302,9
303,10
304,3
305,3
306,3
307,7
308,6
309,8
310,2
311,7
312,7
313,5
314,6
315,4
316,3
317,9
318,7
319,6
320,3
321,6
322,6
323,6
324,6
325,4
326,4
327,3
328,5
329,8
330,3
331,3
332,5
333,6
334,10
335,6
336,1
337,5
338,6
339,6
340,10
341,3
342,6
343,10
344,2
345,5
346,6
347,6
348,1
349,6
350,5
351,3
352,3
353,9
354,5
355,7
356,4
357,5
358,3
359,5
360,1
361,4
362,4
363,4
364,2
365,10
366,6
367,6
368,7
369,9
370,10
371,5
372,7
373,5
374,6
375,8
376,3
377,7
378,4
379,6
380,10
381,3
382,7
383,7
384,12
385,7
386,3
387,6
388,8
389,6
390,2
391,4
392,7
393,3
394,7
395,3
396,3
397,3
398,5
399,1
400,8
401,7
402,6
403,3
404,9
405,7
406,8
407,6
408,3
409,5
410,2
411,8
412,5
413,2
414,4
415,2
416,7
417,3
418,8
419,2
420,6
421,5
422,3
423,4
424,4
425,7
426,1
427,4
428,4
429,7
430,7
431,6
432,6
433,6
434,4
435,9
436,3
437,5
438,3
439,11
440,6
441,10
442,9
443,5
444,6
445,4
446,4
447,5
448,4
449,7
450,6
451,5
452,4
453,8
454,5
455,3
