num,load
0,4
1,3
2,2
3,1
4,4
5,2
6,4
7,3
8,3
9,1
10,4
11,11
12,2
13,7
14,6
15,3
16,5
17,2
18,4
19,7
20,10
21,2
22,3
23,6
24,3
25,8
26,5
27,6
28,5
29,6
30,8
31,9
32,2
33,7
34,12
35,7
36,7
37,7
38,13
39,10
40,12
41,11
42,13
43,23
44,23
45,21
46,12
47,12
48,20
49,20
50,13
51,25
52,10
53,17
54,14
55,20
56,16
57,17
58,20
59,13
60,11
61,5
62,12
63,7
64,12
65,11
66,7
67,7
68,6
69,7
70,3
71,5
72,4
73,5
74,3
75,5
76,6
77,6
78,1
79,3
80,1
81,2
82,3
83,1
84,1
85,5
86,4
87,4
88,1
89,1
90,1
91,4
92,3
93,2
94,1
95,1
96,3
97,3
98,1
99,2
100,4
101,1
102,4
103,5
104,5
105,7
106,1
107,5
108,9
109,6
110,5
111,6
112,5
113,6
114,10
115,8
116,5
117,7
118,4
119,3
120,4
121,4
122,7
123,3
124,4
125,4
126,4
127,4
128,2
129,5
130,9
131,3
132,5
133,4
134,1
135,3
136,1
137,1
138,4
139,4
140,4
141,5
142,3
143,3
144,3
145,5
146,4
147,4
148,8
149,16
150,7
151,7
152,4
153,5
154,4
155,5
156,7
157,8
158,6
159,9
160,9
161,8
162,11
163,8
164,4
165,4
166,2
167,4
168,3
169,7
170,4
171,2
172,4
173,2
174,4
175,8
176,9
177,8
178,9
179,5
180,6
181,4
182,8
183,8
184,6
185,3
186,4
187,8
188,6
189,6
190,8
191,8
192,12
193,7
194,14
195,10
196,13
197,14
198,26
199,19
200,13
201,18
202,19
203,20
204,21
205,13
206,17
207,13
208,8
209,15
210,18
211,10
212,9
213,18
214,25
215,13
216,15
217,12
218,6
219,6
220,10
221,5
222,12
223,7
224,9
225,6
226,7
227,3
228,5
229,3
230,1
231,2
232,3
233,4
234,3
235,9
236,7
237,6
238,5
239,8
240,4
241,1
242,4
243,4
244,4
245,8
246,7
247,5
248,2
249,6
250,3
251,13
252,8
253,3
254,3
255,6
256,7
257,4
258,5
259,7
260,4
261,4
262,3
263,4
264,7
265,9
266,5
267,4
268,8
269,9
270,11
271,11
272,12
273,6
274,7
275,9
276,9
277,8
278,12
279,15
280,7
281,14
282,6
283,10
284,13
285,12
286,16
287,17
288,11
289,9
290,9
291,7
292,3
293,6
294,7
295,4
296,3
297,11
298,9
299,2
300,6
301,0
302,1
303,2
304,5
305,4
306,4
307,3
308,2
309,1
310,1
311,0
312,2
313,2
314,1
315,2
316,2
317,3
318,2
319,5
320,1
321,3
322,2
323,1
324,1
325,1
326,2
327,1
328,4
329,0
330,1
331,0
332,1
333,3
334,5
335,4
336,2
337,1
338,1
339,2
340,3
341,6
342,7
343,4
344,1
345,3
346,2
347,3
348,6
349,5
350,2
351,4
352,2
353,1
354,3
355,6
356,3
357,0
358,4
359,2
360,2
361,2
362,1
363,1
364,1
365,4
366,1
367,5
368,7
369,3
370,3
371,8
372,2
373,2
374,2
375,5
376,5
377,1
378,6
379,10
380,4
381,5
382,7
383,6
384,8
385,5
386,2
387,4
388,5
389,6
390,8
391,8
392,4
393,1
394,5
395,4
396,6
397,2
398,1
399,0
400,1
401,2
402,2
403,1
404,1
405,5
406,5
407,1
408,5
409,1
410,1
411,0
412,0
413,2
414,0
415,1
416,2
417,0
418,2
419,2
420,1
421,4
422,3
423,3
424,8
425,3
426,5
427,9
428,7
429,13
430,12
431,7
432,5
433,5
434,2
435,8
436,9
437,7
438,13
439,10
440,13
441,5
442,5
443,11
444,8
445,7
446,10
447,9
448,5
449,4
450,12
451,5
452,7
453,7
454,2
455,2
456,6
457,4
458,3
459,3
460,5
461,3
462,4
463,7
464,0
465,4
466,11
467,5
468,5
469,2
470,5
471,6
472,6
473,5
474,5
475,3
476,6
477,9
478,4
479,2
480,12
481,6
482,4
483,7
484,3
485,4
486,3
487,7
488,3
489,6
490,4
491,4
492,3
493,4
494,2
495,2
496,0
497,2
498,3
499,1
500,2
501,2
502,3
503,0
504,3
505,2
506,1
507,0
508,2
509,2
510,3
511,3
512,5
513,3
514,4
515,3
516,3
517,2
518,4
519,6
520,0
521,3
522,2
523,3
524,6
525,5
526,4
527,5
528,5
529,7
530,5
531,6
532,6
533,8
534,9
535,7
536,2
537,4
538,3
539,7
540,3
541,4
542,4
543,2
544,2
545,12
546,8
547,5
548,8
549,5
550,5
551,3
552,4
553,3
554,3
555,6
556,6
557,4
558,6
559,5
560,2
561,8
562,8
563,8
564,3
565,4
566,4
567,4
568,7
569,7
570,2
571,4
572,3
573,4
574,2
575,7
576,6
577,3
578,5
579,7
580,5
581,5
582,3
583,2
584,1
585,6
586,4
587,1
588,6
589,7
590,0
591,0
592,2
593,6
594,5
595,3
596,6
597,8
598,3
599,3
600,3
601,9
602,5
603,6
604,2
605,4
606,2
607,3
608,3
609,7
610,3
611,7
612,4
613,2
614,2
615,6
616,8
617,7
618,4
619,4
620,4
621,4
622,4
623,3
624,4
625,2
626,3
627,2
628,1
629,2
630,5
631,0
632,2
633,3
634,1
635,2
636,0
637,1
638,5
639,1
640,8
641,4
642,2
643,5
644,3
645,6
646,9
647,4
648,7
649,7
650,10
651,8
652,8
653,9
654,16
655,13
656,15
657,18
658,15
659,18
660,11
661,8
662,10
663,14
664,17
665,13
666,14
667,12
668,9
669,18
670,18
671,16
672,9
673,6
674,8
675,11
676,2
677,9
678,5
679,4
680,8
681,4
682,2
683,3
684,3
685,1
686,2
687,1
688,7
689,5
690,8
691,4
692,6
693,8
694,4
695,16
696,6
697,10
698,7
699,12
700,7
701,4
702,6
703,5
704,10
705,5
706,4
707,5
708,11
709,8
710,10
711,4
712,7
713,10
714,5
715,5
716,7
717,2
718,2
719,2
720,2
721,1
722,3
723,2
724,3
725,1
726,0
727,1
728,3
729,5
730,1
731,3
732,1
733,2
734,2
735,2
736,1
737,3
738,2
739,3
740,4
741,1
742,4
743,1
744,1
745,1
746,2
747,6
748,2
749,4
750,3
751,3
752,4
753,3
754,5
755,4
756,5
757,2
758,6
759,6
760,4
761,1
762,4
763,3
764,2
765,5
766,5
767,9
768,3
769,5
770,2
771,1
772,0
773,4
774,2
775,3
776,4
777,4
778,1
779,7
780,2
781,2
782,0
783,1
784,0
785,4
786,1
787,3
788,3
789,5
790,4
791,3
792,1
793,2
794,3
795,5
796,4
797,3
798,3
799,5
800,3
801,3
802,3
803,6
804,7
805,4
806,0
807,1
808,10
809,2
810,6
811,3
812,2
813,2
814,3
815,3
816,2
817,6
818,3
819,1
820,2
821,2
822,1
823,2
824,1
825,2
826,3
827,3
828,2
829,1
830,2
831,0
832,4
833,2
834,4
835,1
836,1
837,2
838,0
839,2
840,2
841,1
842,1
843,0
844,4
845,7
846,6
847,9
848,12
849,7
850,6
851,11
852,7
853,7
854,4
855,10
856,5
857,11
858,6
859,5
860,10
861,6
862,9
863,6
864,5
865,7
866,4
867,5
868,4
869,7
870,9
871,3
872,10
873,3
874,4
875,4
876,5
877,1
878,4
879,5
880,8
881,5
882,12
883,5
884,6
885,9
886,6
887,12
888,10
889,6
890,6
891,7
892,16
893,12
894,13
895,11
896,13
897,22
898,11
899,11
900,10
901,10
902,5
903,5
904,11
905,11
906,3
907,7
908,7
909,3
910,3
911,2
912,8
913,3
914,5
915,3
916,6
917,7
918,9
919,7
920,5
921,5
922,12
923,12
924,5
925,8
926,10
927,10
928,6
929,3
930,6
931,9
932,13
933,11
934,6
935,5
936,11
937,4
938,8
939,8
940,5
941,4
942,7
943,3
944,3
945,4
946,6
947,5
948,5
949,3
950,3
951,5
952,13
953,7
954,2
955,4
956,2
957,5
958,1
959,2
960,2
961,7
962,4
963,5
964,6
965,7
966,7
967,6
968,4
969,2
970,3
971,5
972,5
973,5
974,5
975,3
976,5
977,5
978,4
979,7
980,5
981,4
982,6
983,2
984,5
985,7
986,4
987,5
988,5
989,3
990,4
991,5
992,4
993,10
994,5
995,2
996,0
997,2
998,4
999,2
1000,3
1001,4
1002,1
1003,4
1004,1
1005,2
1006,6
1007,3
1008,2
1009,2
1010,0
1011,3
1012,3
1013,3
1014,9
1015,7
1016,4
1017,7
1018,3
1019,3
1020,5
1021,2
1022,6
1023,4
1024,4
1025,2
1026,2
1027,3
1028,7
1029,4
1030,3
1031,1
1032,0
1033,1
1034,5
1035,3
1036,4
1037,6
1038,4
1039,3
1040,4
1041,5
1042,2
1043,2
1044,3
1045,0
1046,2
1047,1
1048,4
1049,3
1050,2
1051,3
1052,0
1053,2
1054,2
1055,6
1056,2
1057,1
1058,3
1059,2
1060,1
1061,0
1062,3
1063,1
1064,2
1065,3
1066,0
1067,4
1068,2
1069,3
1070,4
1071,2
1072,4
1073,5
1074,6
1075,3
1076,8
1077,7
1078,4
1079,5
1080,5
1081,5
1082,7
1083,8
1084,9
1085,8
1086,1
1087,5
1088,6
1089,7
1090,3
1091,11
1092,5
1093,9
1094,7
1095,11
1096,9
1097,9
1098,8
1099,6
1100,7
1101,10
1102,17
1103,9
1104,11
1105,7
1106,18
1107,14
1108,17
1109,16
1110,15
1111,18
1112,19
1113,17
1114,14
1115,12
1116,15
1117,19
1118,20
1119,21
1120,12
1121,12
1122,14
1123,17
1124,17
1125,18
1126,10
1127,4
1128,7
1129,7
1130,7
1131,9
1132,5
1133,9
1134,6
1135,7
1136,4
1137,7
1138,6
1139,2
1140,0
1141,0
1142,5
1143,0
1144,0
1145,2
1146,3
1147,3
1148,2
1149,2
1150,2
1151,1
1152,2
1153,1
1154,2
1155,3
1156,4
1157,0
1158,2
1159,3
1160,3
1161,3
1162,3
1163,4
1164,3
1165,4
1166,2
1167,2
1168,1
1169,2
1170,2
1171,6
1172,4
1173,10
1174,5
1175,5
1176,4
1177,2
1178,8
1179,10
1180,4
1181,3
1182,3
1183,6
1184,1
1185,4
1186,6
1187,5
1188,4
1189,0
1190,3
1191,3
1192,6
1193,4
1194,2
1195,2
1196,2
1197,3
1198,2
1199,4
1200,3
1201,0
1202,1
1203,1
1204,3
1205,2
1206,6
1207,5
1208,5
1209,2
1210,3
1211,1
1212,2
1213,7
1214,7
1215,4
1216,5
1217,0
1218,0
1219,1
1220,2
1221,2
1222,6
1223,1
1224,0
1225,1
1226,6
1227,7
1228,6
1229,1
1230,0
1231,5
1232,2
1233,1
1234,0
1235,1
1236,2
1237,0
1238,4
1239,1
1240,1
1241,4
1242,2
1243,2
1244,2
1245,3
1246,5
1247,3
1248,2
1249,1
1250,0
1251,0
1252,2
1253,0
1254,2
1255,7
1256,6
1257,8
1258,4
1259,9
1260,5
1261,14
1262,15
1263,14
1264,15
1265,15
1266,11
1267,11
1268,21
1269,13
1270,19
1271,14
1272,13
1273,11
1274,11
1275,15
1276,27
1277,21
1278,24
1279,14
1280,15
1281,11
1282,18
1283,10
1284,9
1285,13
1286,5
1287,13
1288,16
1289,7
1290,6
1291,3
1292,3
1293,3
1294,0
1295,3
1296,8
1297,6
1298,7
1299,10
1300,6
1301,13
1302,5
1303,15
1304,6
1305,9
1306,3
1307,8
1308,9
1309,12
1310,7
1311,5
1312,5
1313,4
1314,8
1315,7
1316,6
1317,11
1318,13
1319,12
1320,5
1321,6
1322,4
1323,8
1324,7
1325,7
1326,7
1327,4
1328,2
1329,2
1330,6
1331,8
1332,7
1333,7
1334,8
1335,18
1336,10
1337,10
1338,13
1339,20
1340,10
1341,13
1342,13
1343,22
1344,15
1345,7
1346,14
1347,13
1348,7
1349,8
1350,7
1351,13
1352,15
1353,16
1354,9
1355,9
1356,6
1357,11
1358,13
1359,7
1360,9
1361,2
1362,8
1363,5
1364,7
1365,8
1366,10
1367,6
1368,10
1369,3
1370,6
1371,7
1372,12
1373,2
1374,5
1375,7
1376,5
1377,4
1378,7
1379,6
1380,1
1381,4
1382,5
1383,5
1384,4
1385,7
1386,2
1387,4
1388,5
1389,4
1390,4
1391,1
1392,4
1393,6
1394,3
1395,2
1396,2
1397,3
1398,6
1399,4
1400,5
1401,5
1402,1
1403,2
1404,1
1405,3
1406,4
1407,6
1408,5
1409,3
1410,2
1411,1
1412,3
1413,2
1414,5
1415,3
1416,2
1417,1
1418,2
1419,2
1420,4
1421,0
1422,5
1423,0
1424,1
1425,4
1426,2
1427,2
1428,0
1429,3
1430,1
1431,6
1432,8
1433,5
1434,3
1435,3
1436,1
1437,4
1438,1
1439,2
1440,5
1441,3
1442,7
1443,7
1444,4
1445,2
1446,1
1447,5
1448,5
1449,3
1450,3
1451,4
1452,4
1453,6
1454,2
1455,4
1456,5
1457,1
1458,6
1459,6
1460,6
1461,0
1462,2
1463,5
1464,3
1465,1
1466,0
1467,0
1468,2
1469,0
1470,3
1471,2
1472,1
1473,3
1474,2
1475,2
1476,3
1477,0
1478,1
1479,3
1480,4
1481,2
1482,1
1483,1
1484,0
1485,2
1486,2
1487,1
1488,6
1489,4
1490,6
1491,5
1492,10
1493,12
1494,7
1495,16
1496,12
1497,11
1498,12
1499,7
1500,9
1501,19
1502,16
1503,14
1504,17
1505,8
1506,19
1507,12
1508,14
1509,14
1510,18
1511,13
1512,10
1513,7
1514,9
1515,15
1516,6
1517,7
1518,7
1519,1
1520,4
1521,4
1522,4
1523,1
1524,3
1525,5
1526,5
1527,4
1528,9
1529,6
1530,6
1531,5
1532,6
1533,5
1534,4
1535,11
1536,9
1537,8
1538,6
1539,5
1540,6
1541,2
1542,4
1543,10
1544,6
1545,16
1546,6
1547,8
1548,6
1549,6
1550,7
1551,7
1552,5
1553,4
1554,2
1555,4
1556,5
1557,2
1558,2
1559,8
1560,5
1561,3
1562,1
1563,2
1564,1
1565,3
1566,5
1567,1
1568,1
1569,2
1570,1
1571,0
1572,1
1573,2
1574,3
1575,2
1576,1
1577,1
1578,1
1579,6
1580,3
1581,5
1582,2
1583,1
1584,2
1585,5
1586,6
1587,4
1588,0
1589,4
1590,4
1591,8
1592,12
1593,6
1594,6
1595,6
1596,6
1597,4
1598,6
1599,8
1600,2
1601,4
1602,3
1603,3
1604,4
1605,1
1606,1
1607,4
1608,3
1609,2
1610,1
1611,1
1612,6
1613,4
1614,1
1615,5
1616,4
1617,4
1618,1
1619,3
1620,0
1621,2
1622,2
1623,5
1624,5
1625,3
1626,5
1627,1
1628,6
1629,1
1630,3
1631,2
1632,4
1633,6
1634,7
1635,1
1636,2
1637,5
1638,1
1639,7
1640,3
1641,7
1642,4
1643,0
1644,1
1645,4
1646,3
1647,3
1648,3
1649,0
1650,5
1651,5
1652,1
1653,2
1654,4
1655,2
1656,2
1657,1
1658,2
1659,4
1660,3
1661,0
1662,1
1663,3
1664,1
1665,3
1666,2
1667,1
1668,2
1669,4
1670,3
1671,4
1672,2
1673,4
1674,4
1675,2
1676,3
1677,4
1678,3
1679,7
1680,3
1681,4
1682,4
1683,3
1684,6
1685,8
1686,9
1687,9
1688,10
1689,7
1690,5
1691,4
1692,9
1693,9
1694,14
1695,9
1696,11
1697,4
1698,6
1699,8
1700,9
1701,11
1702,10
1703,2
1704,8
1705,9
1706,13
1707,6
1708,16
1709,17
1710,9
1711,10
1712,10
1713,15
1714,14
1715,11
1716,17
1717,19
1718,12
1719,20
1720,18
1721,22
1722,21
1723,19
1724,10
1725,20
1726,11
1727,22
1728,11
1729,10
1730,13
1731,17
1732,11
1733,22
1734,15
1735,12
1736,16
1737,13
1738,10
1739,11
1740,18
1741,8
1742,12
1743,9
1744,9
1745,1
1746,2
1747,9
1748,4
1749,7
1750,2
1751,3
1752,9
1753,7
1754,10
1755,7
1756,3
1757,10
1758,7
1759,5
1760,4
1761,4
1762,6
1763,11
1764,14
1765,5
1766,6
1767,7
1768,4
1769,16
1770,12
1771,10
1772,8
1773,14
1774,10
1775,6
1776,6
1777,7
1778,13
1779,5
1780,6
1781,5
1782,3
1783,3
1784,5
1785,1
1786,0
1787,3
1788,5
1789,2
1790,4
1791,4
1792,0
1793,1
1794,3
1795,4
1796,4
1797,3
1798,2
1799,0
1800,3
1801,0
1802,3
1803,4
1804,3
1805,2
1806,1
1807,1
1808,4
1809,4
1810,0
1811,4
1812,2
1813,3
1814,0
1815,1
1816,1
1817,4
1818,4
1819,7
1820,3
1821,3
1822,7
1823,5
1824,4
1825,4
1826,5
1827,6
1828,0
1829,3
1830,3
1831,8
1832,6
1833,11
1834,5
1835,2
1836,4
1837,6
1838,4
1839,5
1840,2
1841,0
1842,1
1843,3
1844,2
1845,1
1846,3
1847,0
1848,3
1849,1
1850,3
1851,3
1852,3
1853,5
1854,1
1855,5
1856,0
1857,2
1858,4
1859,2
1860,5
1861,4
1862,3
1863,1
1864,3
1865,1
1866,5
1867,4
1868,6
1869,0
1870,2
1871,3
1872,4
1873,3
1874,6
1875,1
1876,2
1877,3
1878,3
1879,5
1880,4
1881,2
1882,2
1883,2
1884,1
1885,1
1886,3
1887,3
1888,2
1889,1
1890,2
1891,3
1892,4
1893,1
1894,2
1895,3
1896,0
1897,3
1898,2
1899,1
1900,1
1901,3
1902,2
1903,2
1904,4
1905,1
1906,0
1907,3
1908,2
1909,1
1910,2
1911,10
1912,9
1913,5
1914,7
1915,6
1916,7
1917,6
1918,5
1919,8
1920,9
1921,4
1922,12
1923,4
1924,6
1925,4
1926,2
1927,10
1928,11
1929,5
1930,5
1931,11
1932,6
1933,6
1934,7
1935,8
1936,7
1937,4
1938,7
1939,4
1940,2
1941,3
1942,1
1943,4
1944,5
1945,10
1946,7
1947,15
1948,9
1949,8
1950,7
1951,8
1952,13
1953,8
1954,8
1955,7
1956,12
1957,10
1958,6
1959,9
1960,9
1961,14
1962,11
1963,13
1964,10
1965,7
1966,3
1967,5
1968,14
1969,10
1970,8
1971,7
1972,2
1973,4
1974,4
1975,3
1976,2
1977,3
1978,6
1979,4
1980,2
1981,3
1982,1
1983,3
1984,2
1985,1
1986,2
1987,5
1988,2
1989,1
1990,3
1991,2
1992,0
1993,2
1994,3
1995,4
1996,2
1997,3
1998,3
1999,4
2000,6
2001,1
2002,2
2003,2
2004,3
2005,1
2006,1
2007,8
2008,2
2009,1
2010,8
2011,8
2012,6
2013,9
2014,3
2015,3
2016,2
2017,5
2018,9
2019,2
2020,0
2021,5
2022,2
2023,4
2024,6
2025,2
2026,5
2027,4
2028,2
2029,2
2030,5
2031,4
2032,3
2033,2
2034,2
2035,2
2036,2
2037,3
2038,2
2039,2
2040,1
2041,4
2042,6
2043,2
2044,4
2045,10
2046,1
2047,3
2048,3
2049,5
2050,5
2051,8
2052,9
2053,1
2054,4
2055,6
2056,1
2057,5
2058,4
2059,5
2060,7
2061,5
2062,4
2063,1
2064,4
2065,6
2066,8
2067,2
2068,7
2069,2
2070,0
2071,3
2072,3
2073,7
2074,3
2075,1
2076,3
2077,3
2078,12
2079,4
2080,5
2081,4
2082,7
2083,3
2084,4
2085,4
2086,4
2087,6
2088,2
2089,2
2090,2
2091,2
2092,7
2093,7
2094,5
2095,5
2096,1
2097,2
2098,5
2099,5
2100,8
2101,6
2102,15
2103,10
2104,7
2105,10
2106,12
2107,9
2108,5
2109,15
2110,12
2111,18
2112,11
2113,14
2114,11
2115,6
2116,14
2117,10
2118,9
2119,16
2120,12
2121,15
2122,8
2123,8
2124,8
2125,7
2126,5
2127,6
2128,8
2129,8
2130,4
2131,8
2132,2
2133,3
2134,6
2135,5
2136,5
2137,3
2138,12
2139,8
2140,8
2141,5
2142,12
2143,9
2144,4
2145,2
2146,6
2147,12
2148,11
2149,10
2150,3
2151,3
2152,9
2153,11
2154,7
2155,15
2156,8
2157,13
2158,7
2159,7
2160,4
2161,10
2162,11
2163,11
2164,6
2165,6
2166,10
2167,7
2168,10
2169,13
2170,10
2171,5
2172,8
2173,18
2174,17
2175,14
2176,12
2177,11
2178,12
2179,17
2180,15
2181,16
2182,14
2183,23
2184,14
2185,14
2186,18
2187,16
2188,11
2189,15
2190,6
2191,10
2192,10
2193,5
2194,12
2195,9
2196,9
2197,7
2198,11
2199,4
2200,2
2201,7
2202,1
2203,4
2204,2
2205,2
2206,2
2207,9
2208,0
2209,3
2210,1
2211,0
2212,2
2213,3
2214,4
2215,3
2216,4
2217,4
2218,3
2219,1
2220,4
2221,2
2222,2
2223,3
2224,1
2225,5
2226,2
2227,3
2228,0
2229,1
2230,3
2231,0
2232,2
2233,2
2234,0
2235,6
2236,5
2237,3
2238,9
2239,5
2240,2
2241,3
2242,0
2243,11
2244,11
2245,0
2246,2
2247,2
2248,2
2249,2
2250,3
2251,2
2252,3
2253,4
2254,2
2255,2
2256,0
2257,1
2258,2
2259,4
2260,1
2261,5
2262,4
2263,4
2264,4
2265,3
2266,1
2267,1
2268,2
2269,7
2270,4
2271,5
2272,8
2273,4
2274,6
2275,4
2276,1
2277,11
2278,7
2279,9
2280,8
2281,0
2282,6
2283,3
2284,1
2285,3
2286,5
2287,7
2288,4
2289,2
2290,3
2291,4
2292,6
2293,2
2294,0
2295,5
2296,4
2297,2
2298,1
2299,3
2300,0
2301,4
2302,2
2303,1
2304,2
2305,0
2306,6
2307,4
2308,3
2309,1
2310,6
2311,8
2312,2
2313,4
2314,1
2315,5
2316,4
2317,6
2318,7
2319,3
2320,12
2321,7
2322,9
2323,9
2324,15
2325,17
